CHANNEL_NAME,FOLLOWERS,COUNTRY,POTENTIAL_REACH
T-Series ,2.34E+08,India,7.02E+07
Cocomelon - Nursery Rhymes ,1.44E+08,United States,4.32E+07
SET India ,1.39E+08,India,4.17E+07
PewDiePie ,1.11E+08,United States,3.33E+07
MrBeast ,1.00E+08,United States,3.00E+07
Like Nastya ,9.73E+07,United States,2.92E+07
Zee Music Company ,9.14E+07,India,2.74E+07
Vlad and Niki ,8.43E+07,United States,2.53E+07
BLACKPINK ,8.20E+07,South Korea,2.46E+07
Goldmines ,7.20E+07,India,2.16E+07
Justin Bieber ,6.97E+07,Canada,2.09E+07
Sony SAB ,6.92E+07,India,2.08E+07
HYBE LABELS ,6.81E+07,South Korea,2.04E+07
Canal KondZilla ,6.63E+07,Brazil,1.99E+07
Zee TV ,6.40E+07,India,1.92E+07
Shemaroo Filmi Gaane ,6.11E+07,India,1.83E+07
Colors TV ,5.92E+07,India,1.78E+07
ChuChu TV Nursery Rhymes & Kids Songs ,5.87E+07,India,1.76E+07
Dude Perfect ,5.86E+07,United States,1.76E+07
Movieclips ,5.85E+07,United States,1.76E+07
Tips Official ,5.65E+07,India,1.70E+07
Marshmello ,5.58E+07,United States,1.67E+07
Wave Music ,5.56E+07,India,1.67E+07
Sony Music India ,5.53E+07,India,1.66E+07
Aaj Tak ,5.40E+07,India,1.62E+07
LooLoo Kids - Nursery Rhymes and Children's Songs ,4.94E+07,United States,1.48E+07
YRF ,4.84E+07,India,1.45E+07
Fernanfloo ,4.71E+07,El Salvador,1.41E+07
Infobells - Hindi ,4.66E+07,India,1.40E+07
Billie Eilish ,4.66E+07,United States,1.40E+07
JuegaGerman ,4.64E+07,Chile,1.39E+07
Badabun ,4.57E+07,Mexico,1.37E+07
Felipe Neto ,4.44E+07,Brazil,1.33E+07
Get Movies ,4.43E+07,Russia,1.33E+07
Katy Perry ,4.31E+07,United States,1.29E+07
Bad Bunny ,4.31E+07,Puerto Rico,1.29E+07
Você Sabia? ,4.30E+07,Brazil,1.29E+07
Alan Walker ,4.24E+07,Norway,1.27E+07
Like Nastya Show ,4.17E+07,United States,1.25E+07
CarryMinati ,4.16E+07,India,1.25E+07
ABS-CBN Entertainment ,4.15E+07,Philippines,1.25E+07
Shemaroo ,4.12E+07,India,1.24E+07
Speed Records ,4.11E+07,India,1.23E+07
Little Baby Bum - Nursery Rhymes & Kids Songs ,4.00E+07,United States,1.20E+07
Voot Kids ,3.93E+07,India,1.18E+07
???? ? ??????? ,3.91E+07,Russia,1.17E+07
LUCCAS NETO - LUCCAS TOON ,3.86E+07,Brazil,1.16E+07
Ishtar Music ,3.85E+07,India,1.16E+07
TheEllenShow ,3.83E+07,United States,1.15E+07
Toys and Colors ,3.83E+07,United States,1.15E+07
Kimberly Loaiza ,3.81E+07,Mexico,1.14E+07
WorkpointOfficial ,3.81E+07,Thailand,1.14E+07
XXXTENTACION ,3.78E+07,United States,1.13E+07
Super Simple Songs - Kids Songs ,3.73E+07,Canada,1.12E+07
Daddy Yankee ,3.70E+07,United States,1.11E+07
shfa ,3.61E+07,United Arab Emirates,1.08E+07
???? one31 ,3.59E+07,Thailand,1.08E+07
shfa2 - ??? ,3.56E+07,United Arab Emirates,1.07E+07
Goldmines Gaane Sune Ansune ,3.56E+07,India,1.07E+07
Ozuna ,3.52E+07,Puerto Rico,1.06E+07
YouTube ,3.51E+07,United States,1.05E+07
Masha and The Bear ,3.51E+07,United States,1.05E+07
Maria Clara & JP ,3.38E+07,Brazil,1.01E+07
T-Series Apna Punjab ,3.36E+07,India,1.01E+07
Total Gaming ,3.36E+07,India,1.01E+07
J Balvin ,3.36E+07,Colombia,1.01E+07
ABP NEWS ,3.35E+07,India,1.01E+07
Markiplier ,3.35E+07,United States,1.01E+07
Desi Music Factory ,3.30E+07,India,9.90E+06
NoCopyrightSounds ,3.29E+07,United Kingdom,9.90E+06
Bollywood Classics ,3.27E+07,India,9.80E+06
La Granja de Zenón ,3.23E+07,Argentina,9.70E+06
Alfredo Larin ,3.23E+07,El Salvador,9.70E+06
Mikecrack ,3.22E+07,Spain,9.70E+06
Saregama Music ,3.21E+07,India,9.60E+06
